iter	Logloss
0	0.6802924319
1	0.6714627631
2	0.660041006
3	0.6527720034
4	0.6407971212
5	0.6357020587
6	0.630612749
7	0.6205484863
8	0.6157188243
9	0.6074407316
10	0.602730017
11	0.5983946104
12	0.5955735767
13	0.5910696899
14	0.5881704649
15	0.5844812491
16	0.5820454003
17	0.5786604736
18	0.575709819
19	0.5715410839
20	0.5694910262
21	0.5666894568
22	0.5642091904
23	0.5620769617
24	0.5605392923
25	0.5570637908
26	0.5548949438
27	0.5532168756
28	0.550698286
29	0.5494825846
30	0.5477763645
31	0.5457913232
32	0.5442829276
33	0.5414941132
34	0.5399606044
35	0.537879065
36	0.5355774454
37	0.5326193023
38	0.5308082095
39	0.529288248
40	0.5277289461
41	0.5256978673
42	0.5240713198
43	0.5225209115
44	0.5200524138
45	0.516841121
46	0.5148482841
47	0.5105495913
48	0.5086649018
49	0.5068424516
