iter	Passed	Remaining
0	10	1055
1	12	622
2	21	704
3	32	791
4	43	822
5	50	794
6	58	779
7	66	761
8	74	752
9	81	737
10	89	721
11	97	711
12	104	698
13	111	685
14	118	672
15	126	662
16	133	651
17	140	640
18	147	630
19	155	621
20	162	611
21	169	602
22	176	592
23	184	584
24	191	575
25	199	567
26	206	559
27	214	551
28	221	542
29	229	535
30	237	528
31	244	520
32	252	511
33	259	503
34	266	494
35	273	486
36	280	477
37	287	469
38	295	461
39	302	453
40	309	445
41	317	437
42	324	429
43	332	422
44	339	415
45	346	407
46	354	399
47	362	392
48	369	384
49	377	377
50	384	369
51	391	361
52	398	353
53	406	345
54	413	338
55	420	330
56	427	322
57	435	315
58	442	307
59	449	299
60	456	292
61	464	284
62	471	277
63	479	269
64	486	262
65	494	254
66	501	246
67	508	239
68	515	231
69	522	224
70	530	216
71	537	209
72	545	201
73	552	194
74	559	186
75	566	178
76	574	171
77	581	163
78	588	156
79	595	148
80	603	141
81	610	134
82	618	126
83	625	119
84	633	111
85	642	104
86	650	97
87	658	89
88	666	82
89	668	74
90	679	67
91	687	59
92	694	52
93	703	44
94	711	37
95	720	30
96	729	22
97	737	15
98	745	7
99	752	0
